# Mapfile. Created by GNU ddrescue version 1.23
# Command line: ddrescue -d /dev/sdb dump.img ddrescue.log --retrim -r 3
# Start time:   2023-03-03 18:33:35
# Current time: 2023-03-03 18:35:38
# Finished
# current_pos  current_status  current_pass
0x00132000     +               3
#      pos        size  status
0x00000000  0x00001400  +
0x00001400  0x00000200  -
0x00001600  0x00002200  +
0x00003800  0x00000200  -
0x00003A00  0x0001D000  +
0x00020A00  0x00000200  -
0x00020C00  0x00089600  +
0x000AA200  0x00000200  -
0x000AA400  0x00004600  +
0x000AEA00  0x00000200  -
0x000AEC00  0x00004600  +
0x000B3200  0x00000200  -
0x000B3400  0x00008E00  +
0x000BC200  0x00000200  -
0x000BC400  0x00000800  +
0x000BCC00  0x00000200  -
0x000BCE00  0x00004600  +
0x000C1400  0x00000200  -
0x000C1600  0x00004600  +
0x000C5C00  0x00000200  -
0x000C5E00  0x00003C00  +
0x000C9A00  0x00000200  -
0x000C9C00  0x00002C00  +
0x000CC800  0x00000200  -
0x000CCA00  0x00004600  +
0x000D1000  0x00000200  -
0x000D1200  0x00004600  +
0x000D5800  0x00000200  -
0x000D5A00  0x00045E00  +
0x0011B800  0x00000200  -
0x0011BA00  0x00011E00  +
0x0012D800  0x00000200  -
0x0012DA00  0x00004600  +
0x00132000  0x00000200  -
0x00132200  0x00035E00  +
