# Mapfile. Created by GNU ddrescue version 1.23
# Command line: ddrescue -d /dev/sdb dump.img ddrescue.log -r 1
# Start time:   2023-02-28 18:26:58
# Current time: 2023-02-28 19:22:09
# Retrying bad sectors... Retry 1 (forwards)
# current_pos  current_status  current_pass
0x000AC200     -               1
#      pos        size  status
0x0003F000  0x00000200  -
0x0003F200  0x00000400  +
0x0003F600  0x00000600  -
0x0003FC00  0x00000400  +
0x00040000  0x00000600  -
0x00040600  0x00000600  +
0x00040C00  0x00000400  -
0x00041000  0x00000A00  +
0x00041A00  0x00000600  -
0x00042000  0x00000600  +
0x00042600  0x00000200  -
0x00042800  0x00000400  +
0x00042C00  0x00000800  -
0x00043400  0x00000400  +
0x00043800  0x00000200  -
0x00043A00  0x00000400  +
0x00043E00  0x00000600  -
0x00044400  0x00000400  +
0x00044800  0x00000600  -
0x00044E00  0x00000600  +
0x00045400  0x00000400  -
0x00045800  0x00000A00  +
0x00046200  0x00000600  -
0x00046800  0x00000600  +
0x00046E00  0x00000400  -
0x00047200  0x00000200  +
0x00047400  0x00000A00  -
0x00047E00  0x00000200  +
0x00048000  0x00000200  -
0x00048200  0x00000400  +
0x00048600  0x00000600  -
0x00048C00  0x00000400  +
0x00049000  0x00000600  -
0x00049600  0x00000600  +
0x00049C00  0x00000400  -
0x0004A000  0x00000A00  +
0x0004AA00  0x00000600  -
0x0004B000  0x00000600  +
0x0004B600  0x00000400  -
0x0004BA00  0x00000200  +
0x0004BC00  0x00000800  -
0x0004C400  0x00000400  +
0x0004C800  0x00000200  -
0x0004CA00  0x00000400  +
0x0004CE00  0x00000600  -
0x0004D400  0x00000400  +
0x0004D800  0x00000600  -
0x0004DE00  0x00000600  +
0x0004E400  0x00000400  -
0x0004E800  0x00000A00  +
0x0004F200  0x00000600  -
0x0004F800  0x00000400  +
0x0004FC00  0x00000600  -
0x00050200  0x00000200  +
0x00050400  0x00000A00  -
0x00050E00  0x00000200  +
0x00051000  0x00000200  -
0x00051200  0x00000200  +
0x00051400  0x00000800  -
0x00051C00  0x00000400  +
0x00052000  0x00000600  -
0x00052600  0x00000600  +
0x00052C00  0x00000400  -
0x00053000  0x00000800  +
0x00053800  0x00000800  -
0x00054000  0x00000600  +
0x00054600  0x00000400  -
0x00054A00  0x00000400  +
0x00054E00  0x00000600  -
0x00055400  0x00000400  +
0x00055800  0x00000200  -
0x00055A00  0x00000400  +
0x00055E00  0x00000400  -
0x00056200  0x00000600  +
0x00056800  0x00000600  -
0x00056E00  0x00000400  +
0x00057200  0x00000600  -
0x00057800  0x00000800  +
0x00058000  0x00000800  -
0x00058800  0x00000400  +
0x00058C00  0x00000600  -
0x00059200  0x00000400  +
0x00059600  0x00000600  -
0x00059C00  0x00000400  +
0x0005A000  0x00000200  -
0x0005A200  0x00000400  +
0x0005A600  0x00000400  -
0x0005AA00  0x00000600  +
0x0005B000  0x00000600  -
0x0005B600  0x00000400  +
0x0005BA00  0x00000600  -
0x0005C000  0x00000800  +
0x0005C800  0x00000800  -
